study_id,study_title,study_publication_year,study_evidence_type,offset_category_general,continent,country,subnational_region,subnational_region_type,species_common_name,species_scientific_name,species_taxonomic_group,ecosystem_type,ecosystem_broad_type,project_type,project_broad_type,program_name,program_type,program_mechanism_type,program_status,program_scope_level,program_scope_location,program_related,project_delivery_type,policy_name,policy_type,policy_note,policy_jurisdiction_level,policy_jurisdiction_note,policy_jurisdiction_location,policy_status,policy_year_adopted,policy_description,permanence_risk_domain,permanence_risk_category,permanence_risk_type,permanence_risk_evidence_and_reasoning
71,In-lieu fee mitigation: Coming into compliance with the new Compensatory Mitigation Rule,2009,review and discussion,biodiversity,North America,United States of America,NA,NA,NA,NA,NA,wetland; stream; riparian corridor,Wetland; Freshwater,wetland creation; wetland restoration; wetland preservation; wetland enhancement; stream restoration; stream enhancement; stream preservation,Creation; Restoration; Protection; Enhancement,US CWA 404 Permitting,compliance,permitting,active,national,USA,NA,In-Lieu Fee,US Clean Water Act Section 404,legislation,Statutory law passed by a legislature.,national,Applies to a single country at federal level.,USA,active,1972,Section 404 governs permitting for wetland and stream impacts.,non-physical,"Compliance, Legal, and Governance Risks; Data, Transparency, and Capacity Issues",Policy Non-compliance; Weak Governance and Enforcement; Limited Data Transparency; Poor Management and Monitoring,"Of the 38 programs reviewed, 22 (58%) were able to provide ELI with information about the amount of impacts being offset by their program since its inception. These programs reported that they had accepted funds to offset 2,466 acres of wetland impacts, 173,149 linear feet of stream impacts, and 43 acres of stream and riparian corridor impacts. Only 13 of the 38 programs (34%) provided sufficient data to allow for a relatively accurate calculation of wetland replacement ratios.Footnote8 Of these, we estimated that nine programs were meeting the no net loss acreage goal for wetlands.Footnote9 Replacement ratios for these programs varied from 1:1 to 3.8:1, and averaged 1.9:1. The remaining four programs had wetland replacement ratios of 0:1, either because they had not yet conducted any compensatory mitigation activities (two programs), or because the only compensation they had conducted was through preservation (two programs) (see Table 1).


 four programs had wetland replacement ratios of 0:1, either because they had not yet conducted any compensatory mitigation activities, Only 13 of the 38 programs (34%) provided sufficient data to allow for a relatively accurate calculation of wetland replacement ratios, The report concluded that the Corps districts visited by the agency performed limited oversight to determine the status of the compensatory mitigation they had required."
72,Increasingly Active Wildfire Seasons Threaten the Sustainability of Forest-Backed Carbon Offset Programs,2024,legal and policy,carbon,North America,United States of America,California; New Mexico; Washington,State,NA,NA,NA,forest,Forest,NA,NA,California Forest Carbon Offsets,compliance,project-based mechanism,active,subnational,USA,California ARB Offset Program,NA,California Global Warming Solutions Act,legislation,Statutory law passed by a legislature.,subnational,"Applies to states, provinces, or regions.",USA,active,2006,Mandated GHG emissions reductions and enabled the creation of California's Cap-and-Trade Program.,physical; methodological,Climate and Environmental Disturbances; Systemic Oversights and Risk Management Gaps,Fire; Buffer Pool Shortfalls,"the 2024 US wildfire season was dominated by large burns. Over 400,000 ha burned in Texas in early January. In July, California's Park Fire burned more than 170,000 ha. Despite a lower-than-average number of fires, total burned area was 125% above average (National Interagency Fire Center 2024). Along the way, those fires damaged a record number of forest carbon offset projects. Those documents, along with independent reporting from journalists, show that 10.7 million credits have been lost to wildfire—roughly 150% more than the number set aside. Based on our preliminary analyses, the 2024 fire season could result in the loss of as many as 2.9 million credits from California's buffer pool."
73,Inefficacy of wetland legislation for conserving Quebec wetlands as revealed by mapping of recent disturbances,2016,direct empirical,biodiversity,North America,Canada,Québec,Province,NA,NA,NA,wetland; peatland,Wetland,wetland restoration; wetland creation; wetland preservation,Restoration; Creation; Protection,NA,NA,NA,NA,NA,NA,NA,Permittee-Responsible,Quebec Environment Quality Act,legislation,Statutory law passed by a legislature.,subnational,"Applies to states, provinces, or regions.",Canada,active,2006,"Provides the legal basis for environmental assessment in Quebec, including requirements for compensatory measures such as habitat offsets under certain project approvals.",non-physical,"Compliance, Legal, and Governance Risks; Data, Transparency, and Capacity Issues",Policy Non-compliance; Weak Governance and Enforcement; Limited Data Transparency,"During the monitoring period, Quebec’s wetland mitigation sequence was not enforced for projects affecting wetlands meeting a particular combination of criteria, such as isolated non-peatland wetlands hosting no species at risk and covering less than 0.5 ha. As a result, the mitigation sequence was only applied for 323 of the permits (59 %). Upon assessment of the actions implemented to mitigate disturbance, we determined that a single permit inferred partial avoidance only, 67 permits involved minimization only, and 255 led to compensation as the preferred mitigation action. A detailed record of compensations was available for only 162 of the 255 permits for which this was the preferred mitigation option."
74,Informing compensatory habitat creation with experimental trials: A 3-year study of a threatened amphibian,2019,direct empirical,biodiversity,Oceania,Australia,New South Wales,State,Green and Golden Bell Frog,Litoria aurea,Amphibian,created wetland; estuarine island; floodplain mosaic; salt marsh,Wetland; Coastal/Marine,wetland creation; species introduction,Creation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,methodological; physical,Ecological Design and Implementation Failures; Climate and Environmental Disturbances,"Poor Ecological Design; Invasive Species, Insects, and Pathogens","During winter at the end of the first year the aforementioned chytrid outbreak occurred in the trial plot, and some of the losses and the low rates of individual persistence can be attributed to this disease. Furthermore, a chytrid outbreak occurred in our population, with 15 mortalities in the trial plot, 12 in the fenced area, two in the unfenced area, and one in the wetland. The lack of dispersal and greater density within the fenced area may explain the greater mortality from chytrid. An essential requirement for the persistence of a species within a landscape is reproduction. In this study we found no evidence of L. aurea breeding in the trial plot. By comparison, breeding occurred every year in the extant Kooragang Island population, indicating suitable climatic conditions. Although there was an increase in the number of males that reached maturity during the first and second years of the study, the number of calling males decreased after the second year. This was a trend specific to our site, as no difference was found between the years across the extant Kooragang Island population. This is problematic, as gravid females were detected only during the last 2 years, when there were few occurrences of males calling. The biggest limitation was that a breeding event did not occur, and the long-term persistence of L. aurea in the created habitat remains uncertain. Understanding the factors that contribute to successful L. aurea reproduction should be the focus of future research"
75,Insights from the ground level? A content analysis review of multi-national REDD+ studies since 2010,2016,review and discussion,carbon,NA,NA,NA,NA,NA,NA,NA,forest,Forest,avoided deforestation; forest conservation; improved forest management; afforestation; reforestation,Protection; Ecosystem Management; Creation; Restoration,REDD+,voluntary,project-based mechanism,active,international,Global,NA,NA,UNFCCC REDD+,framework,Overarching legislation or policy providing foundational principles.,international,Applies globally or through international institutions.,Global,active,2005,Developed under the UNFCCC to incentivize emissions reductions through avoided deforestation and forest degradation; includes safeguards and provisions for biodiversity co-benefits.,non-physical,"Socioeconomic and Equity Risks; Compliance, Legal, and Governance Risks; Data, Transparency, and Capacity Issues",Community Exclusion and Compensation Gaps; Land Tenure and Access Conflicts; Weak Governance and Enforcement; Poor Management and Monitoring,"A majority of projects obtain local populations' free, prior, and informed consent (Lawlor et al., 2013) or inform them through a participatory rural appraisal (Simonet et al., 2014). However, the level of participation seems to be mostly inadequate. People “are rarely involved in decision-making and project design” (Simonet et al., 2014), individuals and communities lack “detailed information about project risks and opportunities” (Lawlor et al., 2013), and “many participatory processes are reduced to a few workshops” (De Oliveira et al., 2014). With respect to the REDD+ approach, project developers seem to be reluctant to propagate it too actively being afraid to raise expectations that cannot be fulfilled (Sills et al., 2014). In the five studies that tackle National Forest Monitoring Systems (NFMS) including Monitoring, Reporting and Verification (MRV) systems, the status of the monitoring systems was either not satisfying or unclear. Tenure rights are one of the most pressing and influential factors for the complete REDD+ process among the CIFOR GCS projects (Sunderlin et al., 2014) and most of these projects “have not yet succeeded in creating a secure tenure foundation for REDD+ activities” (Sills et al., 2014). The survey by Fishbein and Lee (2015) is more positive, as their interview partners “suggested it is not always the most difficult challenge that a jurisdiction faces” and for De Oliveira et al. (2014) the “cases presented no apparent conflicts coming from land tenure.” Independent of the status of tenure, REDD+ projects are obviously helping populations to clarify tenure rights."
76,Integrating remotely sensed fires for predicting deforestation for REDD+,2017,modeling,carbon,South America,Colombia,Guaviare,Commissiary,NA,NA,NA,tropical rain forest,Forest,NA,NA,REDD+,voluntary,project-based mechanism,active,international,Global,NA,NA,UNFCCC REDD+,framework,Overarching legislation or policy providing foundational principles.,international,Applies globally or through international institutions.,Global,active,2005,Developed under the UNFCCC to incentivize emissions reductions through avoided deforestation and forest degradation; includes safeguards and provisions for biodiversity co-benefits.,physical; non-physical; methodological,"Climate and Environmental Disturbances; Data, Transparency, and Capacity Issues; Systemic Oversights and Risk Management Gaps",Fire; Poor Management and Monitoring; Project Risk Oversight Gaps,"recurring fires can lead to functional deforestation (Barlow et al. 2012), or unintentional (Cochrane 2003) deforestation. Further fire effects on both forest structure and species composition (Cochrane and Schulze 1999, Barlow and Peres 2008) can affect ecosystem function and reduce the rates of carbon sequestration capacity in tropical forests (Balch et al. 2015).. Document review revealed 58% (32 documents) of the projects fail to (1) explicitly identify fire as a driver of deforestation and/or forest degradation and/or (2) consider fire monitoring as a REDD objective.  Fire monitoring has a more limited representation, mentioned in only four documents. The majority of the documents, 17 out of the 23 documents that do mention fire, state the intent to develop fire monitoring processes as related to deforestation and forest degradation."
77,Integrating species metrics into biodiversity offsetting calculations to improve long-term persistence,2022,modeling,biodiversity,Oceania,Australia,New South Wales,State,Squirrel Glider; Northern Brown Bandicoot; Tiger Quoll; Yellow-bellied Glider,Petaurus norfolcensis; Isoodon macrourus; Dasyurus maculatus; Petaurus australis,Mammal,NA,NA,habitat restoration; species conservation,Restoration; Species Management,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,methodological,"Misaligned Metrics, Standards, and Performance Criteria",Oversimplified and Ecologically Misaligned Metrics,"This study highlights the implications of choosing different biodiversity metrics to quantify development-offset trades. We show that achieving NNL or NG in the chosen offset metrics does not always ensure population declines are prevented (Figures 2 and 3). Our findings concur with existing literature which demonstrates that achieving long-term NNL of biodiversity is more complicated than simply ensuring NG in metric values, or total habitat amount (Buschke & Sinclair, 2019; Marshall, Valavi, et al., 2020; Sonter et al., 2020). While offset success varied between metrics and species, none of the metrics we tested were able to counterbalance long-term impacts to populations when developments removed high-quality habitat (Figure 3). Our results again emphasise that when applying offsets in practice proponents should demonstrably attempt to avoid impacts where possible and direct developments towards areas of least concern for key species (Phalan et al., 2017; Villarroya et al., 2014). Despite consistent NLs in our targeted scenarios, species-specific metrics do show some promise in terms of gains in abundance per hectare offset (Figure 5). However, examination of species' ecological considerations is required to understand how metrics function in practice.

When impacts were targeted towards high-suitability habitat, none of the tested metrics could consistently facilitate population recovery for our target species. This result, combined with limitations in land availability, further emphasise the need for avoidance as a first solution to preventing biodiversity decline. This conclusion is not novel and it has been quantitatively demonstrated previously (Phalan et al., 2017; Sonter et al., 2020). However, our results have highlighted again the risks to biodiversity of not complying with avoidance measures (Bull et al., 2020; Theis et al., 2019), and the potential gains in abundance which can occur by avoiding impacts to high-quality habitat (Marshall, Valavi, et al., 2020). Impacts which strategically avoided high-quality habitat resulted in NNL or NGs in most cases for all the metrics tested (Figure 3) and were able to deliver equitable gains in abundance per hectare offset, improving outcomes even when available habitat in which to restore is limited (Figure 5)."
78,Is urban marsh sustainability compatible with the Clean Water Act?,2015,review and discussion,biodiversity,North America,United States of America,New York; New Jersey,State,NA,NA,NA,salt marsh; tidal marsh,Coastal/Marine,wetland restoration,Restoration,US Mitigation Banking,compliance,banking,active,national,USA,NA,Mitigation Banking,US Clean Water Act Section 404,legislation,Statutory law passed by a legislature.,national,Applies to a single country at federal level.,USA,active,1972,Section 404 governs permitting for wetland and stream impacts.,physical; methodological,Climate and Environmental Disturbances; Ecological Design and Implementation Failures,Flooding; Climate Change; Poor Ecological Design; Sea-level Rise,"Actual site elevations were on average 6 inches lower than anticipated—a significant difference when engineering surface elevations and intertidal hydrology, When dredge material was brought onto the Jamaica Bay and Lincoln Park West sites, it was not used to create high marsh, and none of the designs or permit requirements included high marsh to provide a buffer to allow the marsh to migrate in response to a changing climate. When higher elevation scrub-shrub vegetation was planted at Lincoln Park, survival and coverage did not meet projected restoration targets, a common occurrence when trying to engineer elevations and hydrology for high-marsh vegetation. low-lying coastal wetlands and wetland restorations likely to be subject to the effects of a changing climate that include sea-level rise (SLR) and storm surges associated with extreme weather events. Because the restoration was developed as a for-profit mitigation bank, financial factors influenced design decisions. Actual site elevations were on average 6 inches lower than anticipated—a significant difference when engineering surface elevations and intertidal hydrology. The decision was made, influenced both by financial and regulatory concerns, that material to restore the marsh must come from on site. Bringing in fill materials would have increased construction costs, and regulations do not allow fill material to be placed in wetlands (Richard Mogensen, former EarthMark project manager, personal communication). However, the NJDEP stated during permitting discussions that they were aware of the low site elevations and would consider a “potential hardship waiver for fill,” noting “NJDEP is open-minded as [this] is a wetland restoration” (NJDEP preapplication meeting notes). The USACE recommended increasing marsh acreage and decreasing mudflat and open-water acreage (USACE correspondence with the NJDEP). However, due to the low elevations, not enough material was on site to create the planned surface elevations and fill the proposed berm. Channels were added for drainage (Figure 6d) and to generate material needed to create elevations high enough to support low-marsh vegetation and provide material for berm construction (Mogensen, personal communication).

Construction was completed in 2012. When Superstorm Sandy struck NJ, the berms were damaged, and local law suits related to flood damage are now pending. Prior to Superstorm Sandy, the Kane Tract freshwater restoration had 90% tree survival and Spartina alterniflora was establishing in the eastern marsh; however, it is too soon to predict whether vegetation coverage will meet targets. Prior to restoration of hydrologic connectivity to the majority of the site, 21 saltwater and 7 freshwater wetland mitigation credits were released for sale (Richard P. Kane Mitigation Bank, http://www.mitigationbanking.org/pdfs/rpkmb.pdf, 2013; CitationUSACE, 2013c)."
79,Issues and challenges for forest-based carbon-offset projects: A case study of the Noel Kempff Climate Action Project in Bolivia,2000,direct empirical,carbon,South America,Bolivia,Santa Cruz,Department,NA,NA,NA,tall evergreen forest; liana forest; tall inundated forest; short inundated forest; mixed liana forest; burned forest,Forest,avoided deforestation; forest conservation,Protection,AIJ Pilot Phase,voluntary,project-based mechanism,historical,international,UNFCCC,NA,NGO-Delivered; Developer-Delivered; Government-Delivered,UNFCCC REDD+,framework,Overarching legislation or policy providing foundational principles.,international,Applies globally or through international institutions.,Global,active,2005,Developed under the UNFCCC to incentivize emissions reductions through avoided deforestation and forest degradation; includes safeguards and provisions for biodiversity co-benefits.,non-physical,"Compliance, Legal, and Governance Risks",Lack of Liability and Accountability,"Currently, the NKCAP provides no insurance or backing for the potential risks and the C offsets it intends to generate. All of the risks of fewer offsets being generated than anticipated are born by the industry participants, the investors in the project who receive C offset distributions in exchange for their up-front investment. The Government of Bolivia does not insure offsets generation. While all parties signed a Comprehensive Agreement in which roles, responsibilities, and events of default are specified, no party guarantees any other party that offsets will be generated. Future projects will need to address these risks. In the example of Costa Rica, the government backs its C offsets, and reserves a ‘buffer’ of all offsets generated that are not sold until project risks can be minimized."
80,"Long-term performance of seagrass restoration projects in Florida, USA",2019,direct empirical,biodiversity,North America,United States of America,Florida,State,NA,NA,NA,seagrass meadow; seagrass bed,Coastal/Marine,seagrass restoration; sediment modification; transplant; vessel damage repair; sediment removal; planting; sediment fill; breakwater; sediment tubes; vessel removal,Restoration; Engineering Approaches; Miscellaneous Compensation,US CWA 404 Permitting,compliance,permitting,active,national,USA,NA,Permittee-Responsible,US Clean Water Act Section 404,legislation,Statutory law passed by a legislature.,national,Applies to a single country at federal level.,USA,active,1972,Section 404 governs permitting for wetland and stream impacts.,methodological,Ecological Design and Implementation Failures,Implementation Failures,"Seagrass abundance in restored beds varied substantially among projects and was generally sparser than reference beds, particularly within transplant and sediment modification sites. The absence of a temporal effect on seagrass percent cover suggests that adopting space for time substitution may be inappropriate at the timescales tested here (3–32 years after restoration) and/or that inter-annual variability in percent cover might be sufficiently high to mask decadal trends in restoration trajectories. Also, idiosyncratic aspects of project history, such as location, restoration methodology, and environmental fluctuations, likely result in substantial variation in project performance, potentially overriding age-associated trends in the recovery of seagrass abundance in this study; a larger sample set may be needed to further evaluate the role of age in recovery potential. Seagrass restorations may often fail to achieve the areal size or plant density necessary to activate self-sustaining positive feedback mechanisms necessary to advance recovery"
81,Longitudinal evaluation of vegetation richness and cover at wetland compensation sites: implications for regulatory monitoring under the Clean Water Act,2018,direct empirical,biodiversity,North America,United States of America,Minnesota,State,NA,NA,NA,wet meadow; emergent wetland; hemi-marsh,Wetland,wetland restoration; wetland creation; wetland enhancement,Restoration; Creation; Enhancement,US CWA 404 Permitting,compliance,permitting,active,national,USA,NA,Permittee-Responsible,US Clean Water Act Section 404,legislation,Statutory law passed by a legislature.,national,Applies to a single country at federal level.,USA,active,1972,Section 404 governs permitting for wetland and stream impacts.,physical,Direct Anthropogenic Disturbances; Climate and Environmental Disturbances,"Landscape-level Pressures; Invasive Species, Insects, and Pathogens","Structural and functional indicators measured in restored wetlands often fail to follow desired or expected trajectories or develop very slowly through time (Morgan and Short 2002; Whigham et al. 2002; Craft et al. 2003; Woodcock et al. 2011; Matthews 2015). In the SWWD landscape the decline in floristic indicators in emergent marsh communities is likely due to the continuing exposure of many sites to hydrologic stressors, and means that the study overall does not support that 5 years of monitoring can assure the ongoing biotic integrity of wetland compensation sites typical of suburban and exurban areas in the mid-continental US.

The results also suggest the importance of appropriate site selection in compensation practice: where compensation is allowed to occur in locations that are subject to known and foreseeable stormwater impacts, compensation wetlands may suffer decreases in richness, cover density and cover heterogeneity no matter how long the monitoring period is. The Corps and state regulators have considerable flexibility to approve only compensation sites likely to meet the goals of the Clean Water Act permit program, and the 2008 federal compensation rule at 33 CFR 230.93(d) requires that “the compensatory mitigation project site must be ecologically suitable for providing the desired aquatic resource functions.” In making this determination, the Corps “must” take into account many factors including hydrological conditions, watershed-scale features, “compatibility with adjacent land-uses and watershed management plans,” and “other relevant factors including, but not limited to, development trends [and] anticipated land use changes”. The regulatory mandate and leverage exists to avoid the problems seen in the SWWD.

Even though wet meadow areas of the compensation sites gained overall richness, this did not translate into cover diversity: the ten most dominant species in wet meadows constituted nearly as much of the cover in 2010 as in 1997. In emergent communities, dominant species actually constituted more of the cover in 2010. Thus, aggressive introduced species such as Typha × glauca maintained or expanded their dominance of sites even as a greater diversity of species found small footholds in wet meadow communities; this dynamism is concealed if one only looks at the percentage of natives and of native cover, which remained static. Data from both the wet meadow and emergent zones indicate that aggressive introduced species are increasing both in frequency and in cover. The pattern of changes in cover by species suggest that in wet meadows, species not suited to the hydrologic regime typical of a wet meadow are exiting, while wet meadow natives are increasing. In emergent marshes, by contrast, even natives that are tolerant of the typical hydrology of emergent communities are probably exiting under the pressure of strong hydrologic fluctuations related to the operation of the municipal stormwater system.  Furthermore, aggressive, introduced species increased in dominance in both emergent and wet meadow communities, similar to trends observed in other studies of restored wetlands (Reinartz and Warne 1993; Moore et al. 1999; Aronson and Galatowitsch 2008)."
82,Management of multiple threats achieves meaningful koala conservation outcomes,2018,direct empirical,biodiversity,Oceania,Australia,Queensland,State,Koala,Phascolarctos cinereus,Mammal,eucalypt forest; open grassland; shrubland; paperbark woodland,Forest; Grassland; Shrubland,disease control; predator control; translocation; habitat creation,Species Management; Creation,NA,NA,NA,NA,NA,NA,NA,NA,Australia EPBC Act,legislation,Statutory law passed by a legislature.,national,Applies to a single country at federal level.,Australia,active,1999,Primary environmental legislation in Australia; includes provisions for biodiversity conservation and offsets under specific approvals.,methodological,Ecological Design and Implementation Failures,Poor Ecological Design,"Predation accounted for at least 49.5% of mortality or 62.5% if the suspected (but unconfirmed) predation deaths are included (Table 1). Of the 144 confirmed predation deaths, wild dogs, carpet pythons and domestic dogs accounted for 81.3%, 14.6% and 4.2% of predation mortalities, respectively. We believe it is likely that the 38 suspected but unconfirmed predation events were due to wild dog predation. Wild dogs are more likely to transport and bury the carcass away from the point of predation, thereby making it difficult to find, and the suspected predation events closely track the confirmed wild dog predation events across the 4 years. If true, these percentages would change to 85.2%, 11.5% and 3.3%.

Habitat loss, habitat fragmentation, and mortality from predators, vehicle collisions, domestic dogs and disease are all factors implicated in this decline; achieving a net beneficial effect requires addressing the suite of threats impacting a population, not just the development impacts"
83,Managing nature-based solutions in fire-prone ecosystems: Competing management objectives in California forests evaluated at a landscape scale,2022,modeling,carbon,North America,United States of America,California,State,NA,NA,NA,conifer forest,Forest,improved forest management; fuel reduction; prescribed burning; thinning,Ecosystem Management,California Forest Carbon Offsets,compliance,project-based mechanism,active,subnational,USA,California ARB Offset Program,NA,California Global Warming Solutions Act,legislation,Statutory law passed by a legislature.,subnational,"Applies to states, provinces, or regions.",USA,active,2006,Mandated GHG emissions reductions and enabled the creation of California's Cap-and-Trade Program.,physical; methodological,Climate and Environmental Disturbances; Systemic Oversights and Risk Management Gaps,Fire; Project Risk Oversight Gaps,"Using our remote sensing techniques, we found additional evidence that tradeoffs between mitigating short-term fire risk and maintaining elevated carbon stocks for carbon crediting are already present in California IFM carbon projects. We found that IFM offset projects had higher lidar-estimated fuel loads in 2016 than lands receiving fuel treatments under California’s Forest Health program, indicating that these forests have a high starting level of fuels. Between 2016 and 2020, these IFM projects did not reduce fuel loads in ways consistent with active or completed fuel treatments for ladder, surface, canopy cover, canopy height, canopy layer count, or canopy base height. This suggests that these forests are being managed distinctly from forests that are receiving fuel treatments, even controlling for biophysical differences between these forests. From our vegetation greenness trend analysis, we found the management between IFM projects and active fuel treatments are having similar outcomes on vegetation (Figure 4). IFM projects are on average not reducing fuel loads or altering canopy cover and canopy height, yet they are having reductions in vegetation greenness as if they were. Another reason why vegetation can lose greenness is a decline in fuel moisture, which also results in increased flammability (McEvoy et al., 2020). If these loses in vegetation greenness are from declining vegetation moisture, then the management occurring on IFM projects could be increasing fire risk through both not reducing fuel loads and increasing vegetation flammability.

Based on the first decade of the compliance offset market, our results suggest forests managed as offsets promote less beneficial outcomes for fire hazard reduction and vegetation greenness. An abundance of research supports the idea that management should be scaled up in these types of forests—both for forest resilience and for long term carbon storage, relevant for climate change mitigation (Liang et al., 2018; North et al., 2022). And yet, when this climate-focused policy has been applied to forests, we do not observe it incentivizing the average project to implement more fuels management. Only six of the 40 projects in California had qualified fuel treatments based on IFM project documentation submitted to carbon credit registries."
84,Market-based conservation for better livelihoods? The promises and fallacies of REDD+ in Tanzania,2018,direct empirical,carbon,Africa,United Republic of Tanzania,Lindi,Region,NA,NA,NA,forest,Forest,avoided deforestation; community-based forest management,Protection; Ecosystem Management,REDD+,voluntary,project-based mechanism,active,international,Global,NA,NGO-Delivered; Government-Delivered,UNFCCC REDD+,framework,Overarching legislation or policy providing foundational principles.,international,Applies globally or through international institutions.,Global,active,2005,Developed under the UNFCCC to incentivize emissions reductions through avoided deforestation and forest degradation; includes safeguards and provisions for biodiversity co-benefits.,non-physical,"Compliance, Legal, and Governance Risks; Financial Risks; Socioeconomic and Equity Risks",Weak Governance and Enforcement; Corruption and Institutional Capture; Inadequate Financial Planning; Community Exclusion and Compensation Gaps,"Like all other REDD+ pilot projects in the country, both initiatives failed to sell carbon credits in the global market. Although TFCG/Mjumita distributed trial payments to several villages including Ruhoma, the dispersed payments were only possible due to donor funding, which stopped in 2014 (A special committee was founded in Ruhoma to distribute carbon trial payments. A group of 12 people, 50% male and 50% female, were selected by sub-village chairmen and other village leaders to manage the distribution of forest-carbon payments among the villagers. Among the members are representatives from the village council, village natural resource committee, land use planning committee, and the wider village community.). The initial expectation was that, by this time, a carbon cooperative was to be established, through which income from the sale of carbon credits would be channelled directly to the communities and their village residents. The idea was that the carbon cooperative would aggregate and market the voluntary emission reductions from the various villages that take part in the TFCG/Mjumita REDD+ project. Each village resident would be a member of the cooperative, and entitled to its dividend. In addition to individual dividends, carbon sales would be uses to finance community development projects and the operation costs of the cooperative [41]. Because no carbon credits had been sold by the project (at least until 2015/2016), the carbon cooperative was not in operation. The possibility of mismanagement and corruption was supported by the confusion that prevailed over the income and expenses from the village land forest reserve. Despite several attempts, I was not given access to records of income and expenses from the forest reserve by committee members. There was confusion over the amount of fines, stories about the handling of illegal forest users, and secrecy over the income and expenses. From interviews with village natural resource committee members, it also transpired that people had to pay different amounts of tax per plank. The tax on sawed planks seemed to be negotiated on an individual basis, where village natural resource committee members often tried to levy 500 TShs (0.3 USD) tax on each plank, in order to increase their own share of benefits. Yet, in reality, patrols were less frequent and not carried out as planned. Village and committee members explained that organised patrols into the forest reserve had become rare, and only took place if prompted by obvious intruders in the forest. It seems unlikely that at present levels payments were sufficient to significantly impact poverty or vulnerability levels—although the review team was able to verify the very high level of popularity of REDD+ payments across all villages visited. Although the project has made a significant achievement developing the payment system and testing the value of payments it is worth noting that the funds for this were not coming from the carbon market and that funds for future carbon payments are still not secured"
85,"Monitoring created seasonal pools for functional success: A six-year case study of amphibian responses, Sears Island, Maine, USA",2006,direct empirical,biodiversity,North America,United States of America,Maine,State,Wood Frog; Spotted Salamander; Green Frog,Lithobates sylvaticus; Ambystoma maculatum; Rana clamitans,Amphibian,created seasonal pool; vernal pool; pothole; forested seasonal pool,Wetland,wetland creation; wetland restoration,Creation; Restoration,US CWA 404 Permitting,compliance,permitting,active,national,USA,NA,Permittee-Responsible,US Clean Water Act Section 404,legislation,Statutory law passed by a legislature.,national,Applies to a single country at federal level.,USA,active,1972,Section 404 governs permitting for wetland and stream impacts.,methodological,Ecological Design and Implementation Failures,Poor Ecological Design,"Since male wood frogs were abundant, and trespass was never observed, the few females that did not produce egg masses were likely depredated. Evidence of depredation of adult wood frogs by raccoon (Procyon lotor L.), red fox (Vulpes vulpes L.), garter snake (Thamnophis sirtalis L.), and birds was observed, with depredated individuals found in and near traps, by the pool edge, or floating in the pool.

Successful colonization and breeding did not necessarily translate into reproductive success. The gradient in reproductive success and survival for wood frogs from lowest (VP1) to intermediate (VP2) to highest (VP3) corresponds to a gradient of hydroperiods from permanent (VP1) to semi-permanent (VP2) to temporary (VP3). The predation of egg masses by green frog tadpoles created the gradient in reproductive success observed for wood frogs, with the greatest predation pressure in VP1 and the least in VP3

Wood frog populations are expected to decline in VP1 and VP2 in the face of continued egg predation. Wood frog populations may be sustained in VP1
and VP2 by subsidizing new colonists from potholes, detention basins, VP3, and other local breeding sites, with VP1 and VP2 potentially acting as population
sinks 

The pool vegetation that has developed thus far is not characteristic of forested seasonal pools in the northeastern United States (Cutko 1997). Cattail is a typical species of marshes and ponds, and although it is hydrophytic vegetation, it should not be considered an indicator of success in this case. Cattail dominance and monocultures are common in newly created wetlands, especially when sites are not seeded with the desired vegetation following construction (Reinartz and Warne 1993, National
Research Council 2001). Tree and shrub planting throughout the matrix of potholes and pools would have accelerated the process of canopy development and reduced cattail dominance of the site. This would benefit wood frogs and spotted salamanders, which occur most often in closed-canopy pools, and potentially would eliminate green frogs, which occur almost exclusively in open pools (Skelly et al. 1999) 

Summary: predation pressures and uncharacteristic vegetation for pools cause population declines"
